Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Male,21,Mathematics,62.54,75.69,49.89,67.85,57.21,31.4,64.77,60.7255,D,17.8,Yes,No,PhD,2,7,7.3
Male,18,Business,62.64,86.63,65.77,84.76,74.66,32.7,96.89,80.31899999999999,B,26.7,Yes,No,,3,1,7.3
Male,23,CS,81.44,84.18,64.52,82.43,53.58,64.5,78.74,73.3265,C,13.8,Yes,No,Master's,2,1,8.1
Male,24,Mathematics,88.11,98.07,83.2,83.52,76.11,49.6,67.67,78.43050000000001,C,25.9,No,Yes,Bachelor's,3,6,6.1
Male,21,CS,93.82,46.89,51.54,82.25,50.97,76.8,70.97,62.483999999999995,D,15.6,No,Yes,,1,9,5.9
Female,23,Engineering,92.61,74.84,89.31,61.08,86.43,70.1,67.39,75.0805,C,26.3,Yes,Yes,PhD,2,8,8.7
Female,21,Business,98.24,81.52,59.57,57.18,74.4,25.1,57.31,61.58550000000001,D,11.9,No,Yes,PhD,1,1,5.9
Male,21,Mathematics,79.07,93.41,66.64,98.93,72.95,78.4,53.42,72.75200000000001,C,16.8,Yes,No,Master's,3,8,4.4
Female,22,CS,95.43,92.45,86.34,52.26,59.81,84.7,66.09,73.3345,C,12.0,No,Yes,Master's,3,5,5.5
Female,18,Business,90.43,98.68,77.52,73.39,68.06,59.8,72.93,76.8655,C,10.4,No,No,High School,1,2,8.4
Female,21,Mathematics,94.73,70.72,58.48,71.25,59.09,92.8,68.09,66.8915,D,15.5,No,Yes,Master's,3,7,4.5
Male,20,Business,50.58,89.85,63.17,68.0,86.77,78.3,50.7,67.27199999999999,D,13.4,Yes,Yes,Master's,3,2,7.6
Male,23,Business,98.3,65.64,58.35,89.1,59.95,59.5,78.95,70.4535,C,24.7,Yes,No,Bachelor's,1,4,5.3
Male,24,Engineering,73.68,65.34,75.69,87.27,80.84,90.6,57.24,71.60000000000001,C,23.7,Yes,Yes,Bachelor's,1,4,7.7
Female,22,Business,89.91,55.2,59.96,95.26,63.98,60.0,60.55,65.12199999999999,D,14.0,No,Yes,,2,5,6.6
Female,23,Mathematics,56.36,89.09,83.54,69.77,82.85,52.1,56.04,72.416,C,29.8,No,No,Master's,2,6,7.2
Male,20,Business,69.8,99.15,74.79,78.21,77.02,35.6,76.02,77.58949999999999,C,29.3,Yes,Yes,Master's,1,2,5.2
Male,20,Mathematics,63.57,55.38,48.74,94.62,71.17,88.3,54.76,62.645,D,27.9,Yes,Yes,PhD,2,8,4.8
Female,21,Business,64.58,43.37,58.62,99.69,83.65,12.3,62.82,63.94,D,19.7,Yes,Yes,Bachelor's,3,9,4.3
Female,20,CS,56.16,88.93,53.29,98.46,70.79,47.400000000000006,72.59,72.657,C,15.3,No,No,PhD,2,3,8.1
Male,18,Engineering,90.29,77.21,63.42,85.89,91.07,53.7,58.39,69.629,D,12.8,No,No,Master's,2,7,7.6
Female,20,CS,50.46,97.58,70.96,57.16,86.48,55.5,72.31,74.067,C,5.4,No,Yes,Bachelor's,3,4,5.5
Female,21,Engineering,65.63,55.13,70.41,51.16,77.03,65.19999999999999,67.14,64.651,D,20.8,No,Yes,Master's,1,10,8.2
Female,23,Mathematics,58.72,44.26,85.27,91.26,93.85,50.6,93.03,81.4695,B,18.8,Yes,Yes,High School,3,4,8.2
Female,20,Engineering,79.45,69.55,51.35,92.05,91.44,25.7,89.75,74.4315,C,20.7,No,Yes,PhD,2,1,4.7
Female,22,Business,62.71,45.13,96.79,87.32,76.59,85.7,99.64,85.901,B,19.4,Yes,No,Bachelor's,3,5,7.6
Female,24,Business,62.95,55.71,60.57,64.0,53.42,65.8,76.45,64.666,D,8.4,No,No,Bachelor's,1,6,5.5
Female,22,CS,74.42,47.56,58.01,81.99,78.3,85.8,78.77,69.68599999999999,D,22.4,Yes,No,Master's,2,5,6.3
Male,22,Engineering,82.63,53.45,81.11,65.81,67.76,27.6,97.33,75.5215,C,14.0,Yes,Yes,Master's,1,6,6.2
Male,23,Mathematics,56.07,46.37,88.33,72.53,77.01,63.7,69.98,71.79750000000001,C,17.9,No,No,,1,3,7.0
Female,19,Mathematics,58.78,97.23,62.71,69.12,82.36,71.39999999999999,77.78,75.77,C,14.1,No,No,,3,2,5.7
Female,24,Business,62.36,56.71,84.81,95.68,82.24,38.3,68.95,74.88499999999999,C,5.5,No,Yes,PhD,1,5,4.4
Female,22,Mathematics,98.69,66.63,93.02,61.71,83.68,81.19999999999999,77.29,78.12100000000001,C,26.9,No,No,Bachelor's,3,6,7.4
Male,22,Business,69.86,93.92,86.01,78.88,83.96,0.3,54.04,72.0455,C,8.7,Yes,Yes,Master's,3,10,8.8
Male,19,Business,79.95,80.64,42.05,68.05,55.46,59.5,89.19,68.094,D,19.6,No,Yes,PhD,2,6,7.3
Female,23,Business,62.08,77.08,89.64,83.15,59.59,61.4,99.26,85.25150000000001,B,27.1,No,Yes,Bachelor's,1,5,6.7
Male,24,CS,74.52,82.33,86.47,78.23,81.53,53.4,53.29,72.5115,C,10.5,No,No,Master's,1,2,4.8
Female,22,CS,53.71,89.73,80.16,96.2,70.41,63.0,90.05,85.1355,B,15.3,No,No,,1,1,7.1
Female,21,Business,51.74,92.66,85.6,55.08,88.14,16.7,62.09,71.837,C,14.4,No,Yes,Bachelor's,1,10,7.1
Female,23,Business,73.44,78.56,98.77,61.03,56.25,68.5,59.88,72.645,C,7.2,No,No,Master's,1,6,7.1
Female,24,Business,69.93,93.4,65.87,88.32,59.58,33.6,84.67,76.7645,C,15.6,Yes,No,PhD,3,1,8.5
Female,22,Mathematics,56.84,72.12,44.03,68.44,77.92,45.2,52.21,57.8065,F,17.0,Yes,Yes,PhD,2,1,7.6
Female,22,Business,84.38,56.64,67.65,58.29,75.04,33.3,73.16,65.269,D,5.7,Yes,No,High School,2,6,7.9
Female,19,Business,99.65,92.8,42.79,75.17,63.32,47.400000000000006,50.07,59.616,F,17.2,No,No,Bachelor's,1,1,5.6
Male,24,Engineering,69.78,72.49,57.66,82.61,70.42,62.2,77.72,71.148,C,7.3,Yes,Yes,PhD,3,2,5.4
Female,21,Engineering,81.23,94.37,75.21,52.24,51.75,83.80000000000001,73.1,72.08899999999998,C,27.3,No,Yes,Bachelor's,3,1,5.0
Male,23,Engineering,98.15,42.41,58.58,64.58,51.85,48.3,95.77,67.0245,D,21.3,Yes,No,PhD,1,7,7.9
Female,20,Engineering,91.58,63.85,81.12,90.47,54.75,32.3,86.01,76.321,C,6.4,Yes,Yes,Bachelor's,2,4,7.5
Female,18,Business,73.18,96.87,89.32,76.01,78.84,48.8,56.3,75.476,C,25.7,No,Yes,Bachelor's,1,4,5.7
Male,21,Engineering,86.87,54.98,65.23,51.77,93.19,68.89999999999999,67.73,65.403,D,14.0,Yes,Yes,Bachelor's,3,4,4.7
Male,20,Mathematics,56.41,96.49,94.01,64.1,63.01,34.7,96.58,84.601,B,10.6,No,No,High School,1,5,8.2
Female,21,Mathematics,75.61,97.23,44.79,81.96,51.7,41.4,86.27,71.197,C,11.3,No,Yes,,1,9,5.9
Male,24,Engineering,63.95,92.93,90.41,59.97,85.43,56.3,79.71,80.8085,B,19.9,Yes,Yes,Bachelor's,1,5,4.9
Female,20,CS,58.06,73.82,89.71,91.37,92.77,29.4,77.95,81.338,B,7.0,Yes,No,,3,10,4.7
Female,24,Mathematics,71.31,78.82,59.32,83.83,56.91,20.9,69.9,66.93350000000001,D,6.5,Yes,No,,2,2,8.6
Male,20,Mathematics,56.55,92.18,57.92,73.57,69.29,14.0,79.26,70.74950000000001,C,20.7,Yes,No,,1,8,4.7
Male,21,Engineering,84.95,86.55,58.31,95.78,57.94,35.3,88.58,76.06,C,29.5,Yes,No,PhD,2,8,5.8
Male,19,Engineering,72.81,77.81,88.68,69.59,55.32,4.8,56.38,66.96600000000001,D,17.1,No,Yes,Master's,2,9,7.2
Male,21,Business,76.56,98.94,89.9,61.75,82.41,58.3,98.49,87.2815,B,15.3,Yes,No,,3,4,6.0
Female,24,Mathematics,57.32,81.14,59.78,83.07,98.38,17.6,61.97,68.8855,D,28.7,No,Yes,Bachelor's,1,3,6.4
Male,21,Engineering,56.99,98.53,75.56,78.66,83.91,37.7,72.39,77.4615,C,11.0,No,Yes,Master's,1,10,8.0
Male,20,Engineering,79.17,43.44,48.34,66.76,99.24,26.9,51.14,55.226,F,11.0,No,No,PhD,2,6,9.0
Male,18,Business,99.25,48.34,68.13,67.18,71.72,63.0,77.52,67.93849999999999,D,27.6,Yes,No,High School,2,1,6.3
Male,20,Mathematics,54.81,67.09,99.93,69.91,94.89,85.0,69.09,79.9985,C,21.2,Yes,No,,2,6,5.9
Male,22,Engineering,64.29,63.09,49.53,64.56,60.25,63.3,62.49,59.467,F,6.3,Yes,Yes,,3,5,6.0
Female,21,Business,93.47,86.96,96.85,85.51,55.9,54.3,99.28,88.172,B,21.8,No,Yes,PhD,3,1,5.8
Female,23,Engineering,53.61,49.64,89.46,82.57,85.13,66.9,71.41,75.47749999999999,C,25.5,Yes,No,Bachelor's,2,6,6.4
Male,21,CS,93.79,98.57,98.33,72.04,68.57,3.0,70.71,78.39399999999999,C,11.8,Yes,Yes,Bachelor's,3,3,5.7
Male,19,CS,76.21,58.9,50.77,69.89,65.88,12.3,73.16,61.16199999999999,D,14.6,Yes,Yes,Master's,3,8,6.3
Female,24,Engineering,70.41,65.74,52.81,68.25,83.56,9.5,55.81,58.875,F,9.9,No,No,Master's,3,3,8.7
Male,23,Mathematics,65.48,56.48,41.01,64.17,66.67,9.8,69.65,56.402,F,20.8,No,No,Bachelor's,1,3,5.4
Female,20,CS,64.86,74.76,83.48,54.28,78.63,26.0,66.82,69.43499999999999,D,21.6,Yes,No,High School,3,7,7.3
Female,19,Business,65.29,43.52,78.65,63.41,64.97,53.2,73.26,66.83699999999999,D,6.7,Yes,No,Bachelor's,2,1,6.4
Male,21,Engineering,94.24,48.98,50.68,66.06,89.19,11.5,92.83,67.269,D,21.9,Yes,Yes,High School,1,10,7.7
Female,20,Business,86.19,84.75,87.47,77.38,65.62,93.5,59.64,75.31599999999999,C,21.5,No,No,PhD,2,10,6.4
Male,20,CS,83.49,51.19,57.95,88.69,76.75,85.39999999999999,80.39,71.5315,C,5.9,Yes,No,High School,3,8,4.8
Male,22,Mathematics,89.94,54.13,48.1,69.79,51.16,97.2,51.88,56.153,F,18.9,No,Yes,PhD,2,4,8.4
Female,22,Business,62.86,87.58,65.35,97.24,89.59,4.3,65.84,72.9865,C,20.3,No,No,,2,5,7.4
Female,18,CS,80.9,45.6,45.46,91.37,81.02,85.1,73.63,66.35650000000001,D,15.8,No,Yes,Bachelor's,3,5,6.6
Male,22,CS,73.0,66.25,55.79,99.24,59.61,80.39999999999999,53.71,64.865,D,27.5,No,Yes,Master's,2,4,8.2
Female,24,CS,89.12,41.38,62.28,93.81,60.77,90.2,77.2,69.5955,D,13.2,No,Yes,,3,1,8.9
Male,23,Business,65.46,60.81,91.11,80.84,63.12,52.8,65.52,72.633,C,6.7,No,Yes,Master's,3,3,6.0
Female,20,CS,82.16,81.94,87.55,79.92,78.83,78.8,99.64,87.8815,B,21.8,Yes,No,High School,3,8,5.8
Female,22,Engineering,94.11,45.41,66.57,56.48,77.42,5.1,81.55,64.38799999999999,D,20.1,No,Yes,Bachelor's,2,2,7.8
Male,18,CS,70.11,93.3,83.47,86.12,63.69,7.6,62.21,73.1925,C,29.7,No,No,Bachelor's,2,8,6.3
Male,21,Engineering,53.33,94.57,74.12,80.01,84.7,11.9,55.13,70.321,C,10.8,No,Yes,Bachelor's,2,4,4.4
Male,23,Mathematics,75.8,46.3,60.45,75.35,94.45,91.5,52.04,62.992,D,14.9,Yes,Yes,,1,9,5.8
Female,22,Engineering,67.3,99.44,83.55,84.66,52.18,6.1,54.54,70.3875,C,16.5,No,No,PhD,2,8,8.0
Male,20,Mathematics,83.61,57.85,81.01,72.2,70.86,10.0,84.0,72.54599999999999,C,26.5,No,Yes,High School,3,8,7.5
Male,21,Mathematics,97.55,45.05,77.15,76.19,79.68,93.0,92.75,77.9165,C,15.4,No,No,,3,4,8.3
Female,24,Engineering,74.28,40.3,77.08,69.92,79.32,10.7,57.84,61.622,D,24.3,No,Yes,,1,2,4.7
Female,20,Mathematics,73.31,64.51,80.98,85.87,50.98,87.0,70.11,73.283,C,8.9,Yes,Yes,PhD,1,8,5.2
Male,21,Engineering,82.73,77.79,63.07,93.83,60.53,78.89999999999999,67.71,71.8215,C,15.2,No,Yes,Master's,1,7,5.1
Male,24,Business,55.17,59.93,92.14,92.04,53.09,4.0,82.23,76.0085,C,8.9,No,Yes,Master's,1,2,8.9
Male,24,Mathematics,62.68,90.2,49.74,89.3,78.45,2.2,59.13,65.054,D,28.7,No,No,Bachelor's,2,7,4.8
Male,23,Engineering,95.95,83.0,93.03,50.69,82.27,53.4,97.67,83.509,B,9.4,Yes,No,,2,1,7.0
Female,20,Mathematics,83.5,61.01,60.54,95.59,57.99,99.7,86.43,75.338,C,15.5,Yes,Yes,PhD,3,6,7.2
Female,22,CS,50.67,84.06,47.5,63.74,66.65,87.89999999999999,97.75,74.43,C,7.1,No,No,PhD,2,7,7.1
Male,22,Engineering,60.23,96.43,76.0,94.4,66.49,31.0,63.87,74.9845,C,28.0,Yes,No,Master's,1,2,7.5
Male,18,CS,84.14,45.59,62.56,59.85,90.99,38.6,79.39,66.30199999999999,D,20.6,Yes,Yes,PhD,1,2,6.4
Male,21,Mathematics,88.22,58.37,88.93,71.98,59.73,38.8,86.61,75.681,C,29.1,No,No,Master's,1,8,4.4
Female,18,Mathematics,91.99,67.8,65.85,87.47,77.42,73.4,85.55,76.83000000000001,C,6.1,No,Yes,Master's,1,2,7.5
Male,19,Business,64.61,69.88,80.11,82.01,89.15,34.1,51.07,68.752,D,9.4,No,No,,2,10,5.4
Male,22,Engineering,96.55,72.53,58.5,70.8,91.48,14.8,99.91,75.9855,C,14.5,Yes,Yes,High School,3,2,4.4
Female,21,CS,77.65,58.04,52.57,83.93,83.33,74.7,96.4,75.426,C,20.5,Yes,No,Bachelor's,3,5,4.8
Female,23,Business,84.83,80.04,63.28,77.45,64.98,45.8,55.99,65.02850000000001,D,13.2,Yes,Yes,High School,2,4,5.4
Male,18,Mathematics,79.84,78.71,76.41,63.79,91.15,7.7,77.18,73.1315,C,22.8,Yes,No,PhD,1,1,6.2
Male,23,Mathematics,56.14,74.67,79.42,82.32,87.11,79.0,65.73,75.7835,C,9.1,No,No,High School,2,8,8.3
Female,23,Business,98.16,46.83,74.69,60.21,85.22,58.5,93.94,74.35749999999999,C,20.0,No,No,High School,2,4,6.7
Male,23,CS,56.14,68.62,99.28,84.7,53.37,48.9,84.88,81.064,B,14.9,Yes,No,Master's,3,9,6.4
Male,18,Mathematics,62.74,61.37,81.47,50.16,52.16,67.30000000000001,61.18,64.03200000000001,D,17.7,No,Yes,,2,2,5.0
Female,19,Mathematics,90.68,69.46,95.89,77.44,84.77,50.5,51.69,72.5165,C,19.2,No,No,PhD,1,2,8.8
Female,24,Engineering,80.93,95.31,47.08,70.05,97.24,64.80000000000001,64.59,68.915,D,6.5,No,Yes,Bachelor's,2,6,8.5
Female,24,Business,91.91,68.83,43.68,65.16,88.69,86.7,51.91,59.7955,F,28.1,Yes,No,Master's,3,2,8.1
Male,18,Mathematics,75.79,40.84,58.66,75.79,91.57,61.4,57.07,61.50750000000001,D,24.7,No,No,Bachelor's,3,2,5.6
Female,24,CS,68.85,66.33,48.2,82.27,77.25,66.0,81.81,69.90799999999999,D,16.1,No,No,,3,6,6.8
Female,20,Engineering,96.09,89.24,71.55,98.27,65.23,61.4,87.25,81.782,B,18.7,Yes,No,High School,2,6,5.9
Male,24,Business,51.81,86.8,71.14,91.65,83.89,53.1,73.4,77.6165,C,5.8,No,Yes,High School,1,8,6.0
Male,22,CS,92.81,70.8,74.5,85.86,85.6,17.2,80.01,75.547,C,17.4,No,Yes,,1,10,4.4
Female,18,Mathematics,61.54,54.99,84.71,73.95,83.77,33.6,57.79,67.9125,D,15.7,Yes,No,PhD,1,1,4.7
Female,24,Business,92.44,67.91,98.28,69.61,97.34,69.3,65.84,78.149,C,14.4,No,No,Master's,3,1,8.8
Male,18,Business,56.96,73.82,92.7,51.63,68.36,42.5,85.64,76.6455,C,25.4,No,Yes,High School,3,7,7.1
Male,19,CS,79.01,99.99,47.1,67.95,51.98,40.6,68.24,64.666,D,9.5,Yes,No,,3,9,4.0
Female,20,Business,94.41,78.65,60.31,92.42,95.42,75.9,67.44,74.307,C,9.4,No,No,Master's,1,7,8.0
Female,18,CS,73.68,81.66,55.35,69.2,58.02,0.6,59.7,60.2085,D,18.0,No,No,Master's,3,4,4.4
Male,22,Mathematics,87.33,69.49,50.61,73.08,84.87,67.9,79.74,69.842,D,22.2,Yes,Yes,,3,9,7.5
Female,24,Engineering,90.23,61.27,72.68,63.59,93.66,48.9,90.48,75.854,C,5.6,Yes,Yes,High School,2,6,7.1
Male,22,CS,86.82,88.78,73.2,63.71,65.51,37.7,73.47,71.65050000000001,C,18.6,Yes,Yes,PhD,3,10,4.3
Female,24,Engineering,96.27,69.7,53.63,53.09,91.52,34.1,55.78,59.417,F,12.5,Yes,No,High School,3,1,6.7
Male,18,Business,72.34,99.68,82.71,80.69,66.6,17.3,91.92,82.834,B,23.9,Yes,Yes,High School,1,6,4.2
Male,23,CS,58.66,67.43,83.97,72.4,89.71,33.4,53.57,68.679,D,16.7,Yes,No,High School,1,10,4.3
Female,24,Mathematics,52.39,44.08,41.26,80.3,53.49,39.1,73.59,58.352999999999994,F,25.9,Yes,Yes,High School,2,6,4.3
Female,23,CS,62.32,80.95,63.75,77.34,82.76,43.7,63.05,69.057,D,14.9,Yes,Yes,Bachelor's,1,1,5.3
Male,20,CS,57.16,42.8,93.41,89.94,83.86,67.2,96.82,84.0555,B,25.7,No,No,,1,8,8.0
Female,22,CS,77.9,55.03,71.22,87.55,74.57,45.4,86.88,74.983,C,22.9,Yes,No,PhD,3,5,5.8
Female,23,Engineering,59.25,61.22,60.86,88.57,84.35,79.6,78.32,73.5945,C,25.7,Yes,Yes,PhD,2,4,7.2
Female,22,Engineering,51.95,84.37,55.22,74.96,96.16,64.0,83.39,75.5375,C,25.3,No,Yes,Bachelor's,3,10,4.6
Male,24,Business,51.8,69.65,54.6,67.69,86.69,19.0,76.64,66.86200000000001,D,17.2,Yes,Yes,PhD,3,1,8.7
